flag	content
descDefault_BF	Um uniforme de colégio comum. Aqueles que vem até o clube misteriosamente<N>recebem um.
descRegular_BF	Roupa padrão do BF. É bem confortável de usar, e também é estiloso.
descMinus_BF	BF de um universo alternativo. Ele é uma das três variações de BF do seu Mundo Natal.
descSutazu	Eles falam que existe uma Sutazu em todo universo.<N>Seu amigo Henry acompanha ela às vezes.
descSoft	o Benjamin nem sabe como chegou aqui, mas acha essas colegiais legais então tá de boa, ele espera...
descCow	Em parceria com o Sr. Passaro, ele está sempre lá quando a Sayori precisa de<N>um abraço. Ah, e ele está consiente agora.
descBlueSky_BF	Roupa do professor de sala de aula Sakurai. Que melhor maneira de saudar sua namorada do que<N>contando a ela sobre as atrocidades da história do século 20?
descHoloFunk_BF	Uma estrela de volta à ação, ela não sabe como chegou aqui, mas com sua grande parceira Nene ela sente que pode fazer qualquer coisa.
descDefault_GF	Um uniforme de colégio comum<N>Apesar da GF estar na escola agora, a cabeça dela ainds está nas nuvens.
descRegular_GF	O vestido vermelho favorito da GF, dado pela mãe dela.
descMinusGF	GF de um universo alternativo. Sempre pronta pra falar demais usando seu sotaque britânico.
descSoftPico	Onde o Benjamin for, Pico vai junto pra manter ele seguro. 
descTBD	A Mascote do Team TBD! Ela está feliz que você jogou o mod inteiro,<N>Igualmente com a Team TBD. Muito Obrigado!
descSayoGF	Esses sprites são fofos demais para serem usados em uma única música.
descBlueSky_GF	Roupa da mãe do Protagonista. não é estranho se sua namorada se veste igual a mãe de alguêm se fica legal, né?
descHoloFunk_GF	Essa não é a primeira vez da Nene em um jogo de terror escolar.<N>Ela espera que tenha menos ERROS dessa vez.
descDefault_MO	Um uniforme escolar comum. A Monika personalizou um pouco o dela.
descCasual_MO	Roupa casual da Monika, Sweaters são o nivel máximo de conforto.(Yuri concordaria.)
descValentine_MO	Traje de verão da Monika, Isso não existe no jogo, Monika se veste assim em varias artes de propagandas.
descFestival_MO	Uniforme do Hex. As habilidades atléticas da Monika fariam ela<N>ser uma notável estrela do basquete igual ao Hex.
descFriends_MO	Roupa do Senpai. Fica melhor na Monika do que no próprio Senpai.
descBlueSky_MO	Roupa de inverno da Monika do Blue Skies. a falta de tempo da Presidente do clube não quer dizer que ela não vai ser estilosa.
descVigilante	Roupa de ladra da Monika em Doki Doki Vigilante. Hora de acordar, levantar<N>e dar o fora daqui!
descDefault_SA	Um uniforme de colégio comum. Sayori cresceu um pouco, então ele não cabe direito.
descCasual_SA	Roupa casual da Sayori. Simple, fofo, e bem confortável.
descPicnic_SA	Adoráveis roupas de verão da Sayori, Perfeitas para usar enquanto se diverte com os amigos.
descFestival_SA	Roupa da Grace. Sayori se indentifica facilmente com as emocões que a Grace traz em suas músicas.
descFriends_SA	Um moletom inspirado no Zipper. bem mais legal do que uma jaqueta reta
descBlueSky_SA	Roupa de inverno da Sayori Blue Skies. Tênis Confortáveis? Checado. Roupa simples? Checado.<N>Nem mesmo colocado direito? Claro, Estamos falando da Sayori né?
descSleepWear	Pijama da Sayori. Ela só apareceu usando isso em<N>condições bem "amarradas"
descMinus_SA	Sayori de um universo alternativo.<N>Uma sereia adorável.
descDefault_NA	Um uniforme de colégio comum. Natsuki teve que pegar o menor tamanho possível.
descCasual_NA	Roupa casual da Natsuki. Ela esqueceu seu microfone, então ela trouxe sua escova de cabelo no lugar.
descSkater_NA	Roupa de skatista da Natsuki. bem maneira por sinal.
descFestival_NA	Roupa do Kapi. já que a Natsuki tem uma otima afinidade com gatos.
descFriends_NA	Roupa da Sunday. a Sunday ainda está impressionada que a Natsuki conseguiu<N>combinar isso com uma competição de gritos.
descHank	Equipamento da Antipatia do Hank. pense duas vezes se você acha que a Natsuki<N>vai aguentar você falando merda.
descBlueSky_NA	Roupa de Halloween da Natsuki Blue Skies. Tem o apelido de "Natspooki" para aborrecer ela.
descBuff_NA	Se ajeite, thot(não pesquise o que é na internet).
descDefault_YU	Um uniforme de colégio. A Yuri teve que pegar o maior tamanho possível.
descCasual_YU	Roupa casual da Yuri. Perfeito para relaxar e ter belo dia de leitura.
descDerby_YU	Equipamento de Patinação da Yuri. Ela aprendeu a se equilibrar muito bem sobre rodas.
descPicnic_YU	Roupa de verão da Yuri. você sempre pode contar com seu senso de moda quando for elogiar ela.
descFestival_YU	Vestes da Taki. Sem Motoserra Incluída.
descFriends_YU	Roupa do Tabi, a Turi e o Tabi criaram um bom vínculos por que ambos<N>tem uma paixão cortante.
descBlueSky_YU	Roupa de Inverno da Yuri Blue Skies. Ela realmente se sai bem vestindo preto.
descDefault_PR	Um uniforme de colégio comum. Para alguém tão comum quanto.
descHenry	Uma roupa inspirada no Henry Stickmin. O Protagonista e Henry são protagonistas<N>que sempre estão em situações de risco.<N>Um é especialista em abrir grades de prisão<N>e o outro é especialista em gentilmente abrir portas...
descFanon	O design feito pelo Fandom de DDLC.<N>(Fanon = Algo que é muito aceito pelos fãs,<N>mas não necessáriamente é canônico.)
descCasual_PR	Roupa casual do Protagonista. Teve um bom trabalho de interpretação já<N>que você só ver a parte traseira superior dela no Jogo.
descHotline	Primeira roupa da Rude. a Monika junto com a Yuri decidiram esse visual <N>logo após um estranho encontro com uma dama espacial.
descBlueSky_PR	Roupa de verão do Protagonista. se você conseguir levar a Yuri para ver os<N>fogos de artifício em Blue Skies, Você pode ver ele nessa roupa.
