flag	content
comentarioparaorganizacaoum DAQUI PRA BAIXO SOMENTE DESCRIÇÕES
mcontrolsdesc   Change mobile controls
botplaydesc Let the Bot play for you, and just enjoy the history of the game
lowenddesc  Extra optimization options
ratingvisiveldesc   Let "Sicks", "Bad", popups visible, (Can make FPS unstable)
gfvisiveldesc   Remove GF from the music, make the game use less RAM.<N>(If your phone is lagging<N>or with low battery, disable this.)
gputexturesdesc Case turned on, the game will use GPU when needs, but you will have to reset the game after this
presetsdesc Choose the best preset of optimization to your phone.
unlockalldesc   Unlocks everything in the mod with the exception of some skins
resetstorydesc  Erase all your progress in the game's history
