flag	content
msgPrologue	As músicas do Prólogo agora estão disponiveis no Free Play.
msgSayo	As músicas da Sayori agora estão disponiveis no Free Play.
msgGFCount	<Q>Contagem da Girlfriend<Q> Desbloqueado!<N>Você pode ativar isso nas Opções.
msgNat	As músicas da Natsuki agora estão disponiveis no Free Play.
msgNat2	Uma versão alternativa de <Q>Baka<Q> foi desbloqueada!<N>Disponível no Free Play.
msgYuri	As músicas da Yuri agora estão disponiveis no Free Play.
msgMonika	<Q>Reconciliation<Q> agora está disponiveis no Free Play.
msgFestival	As músicas do Festival agora estão disponiveis no Free Play.
msgEncore	As músicas da Semana Encore agora estão disponiveis no Free Play.
msgEncore2	Uma versão alternativa de <Q>Shrinking Violet<Q> foi desbloqueada!<N>Disponível no Free Play.
msgProtag	As músicas do Protagonista agora estão disponiveis no Free Play.
msgExtra1	<Q>Poems n' Thorns<Q> Desbloqueado!<N>Você pode acessar ele no Freeplay.
msgExtra2	<Q>Dual Demise<Q> Desbloqueado!<N>Você pode acessar ele no Freeplay.
msgEpiphany	Epiphany<N>desbloqueada.
msgMirror	Mirror Mode e Notas Aleatórias Desbloqueados<N>Você pode ativar eles no menu de Modificações
msgLyrics	<Q>Volte logo querido! tenho uma surpresinha pra você!~<Q>
msgSide	Side Stories Desbloqueadas!<N>Agora aproveite músicas bonus e uma história extra!
msgSide2	Uma versão alternativa de <Q>Love n' Funkin'<Q> foi desbloqueada!<N>Disponível no Free Play.
msgCostume	Menu de Skins Desbloqueado!!<N>Agora você pode usar diferentes roupas em cada personagem no Freeplay!
msgExtra3	A música do Protagonista do Frstival foi Desbloqueada! Acesse ela no Freeplay.
msgCredits	Agora os Creditos estão acessiveis<N>no menu principal
msgGallery	Galeria de Artes e Adesivos Desbloqueada no menu principal!
msgVA11HallA	Tem algo de errado<N>com o menu principal...
msgLibitina	AVISO: DADOS IRREGULARES<N>NO MENU DE SIDE STORIES
