flag	content
msgPrologue	Las canciones del prólogo ahora están disponibles en el menú de Freeplay.
msgSayo	Las canciones de Sayori ahora están disponibles en el menú de Freeplay.
msgGFCount	<Q>Girlfriend Countdown<Q> desbloqueada!<N>Disponible en el menú de Opciones.
msgNat	Canciones de Natsuki ahora están disponibles en el menú de Freeplay.
msgNat2	Una version alternativa de <Q>Baka<Q> ha sido desbloqueada!<N>Disponible en el menú Freeplay.
msgYuri	Las canciones de Yuri ahora están disponibles en el menú de Freeplay.
msgMonika	<Q>Reconciliation<Q> ahora está disponible en el menú de Freeplay.
msgFestival	Las canciones del Festival ahora están disponibles en el menú de Freeplay.
msgEncore	Las canciones de la semana Encore ahora están disponibles en el menú de Freeplay.
msgEncore2	Una version alternativa de <Q>Shrinking Violet<Q><N>ha sido desbloqueada!<N>Disponible en el menú Freeplay.
msgProtag	Las canciones del Protagonista ahora están disponibles en el menú de Freeplay.
msgExtra1	<Q>Poems n' Thorns<Q> desbloqueada!<N>Disponible en el menú de Freeplay.
msgExtra2	<Q>Dual Demise<Q> desbloqueada!<N>Disponible en el menú de Freeplay.
msgEpiphany	Epiphany<N>desbloqueada.
msgMirror	Modo Mirror y Random Notes han sido desbloqueados!<N>Disponible en el menú de Modifiers.
msgLyrics	<Q>¡Vuelve aquí! Yo tengo otra sorpresa para tu~<Q>
msgSide	Historias paralelas desbloqueadas!<N>Disponible en el menú de Story Mode.
msgSide2	Una version alternativa de <Q>Love n' Funkin'<Q> ha sido desbloqueada!<N>Disponible en el menú Freeplay.
msgCostume	Menu de skins desbloqueado!<N>Disponible en Freeplay.
msgExtra3	La cancion de Protagonista en Festival ha sido desbloqueada!<N>Disponible en el menú Freeplay.
msgCredits	El menú de créditos ha sido desbloqueado!
msgGallery	La galería ha sido desbloqueada.
msgVA11HallA	Algo diferente<N>en el Menú Principal...
msgLibitina	DADOS CORROMPIDOS<N>(Disponible en el menu de historias paralelas)
