flag	content
cmnEasy	Fácil
cmnNormal	Normal
cmnHard	Difícil
cmnPB	Melhor Pontuação Pessoal
cmnScore	Pontuação
cmnNPS	NPS
cmnMaxNPS	Máximo
cmnComboBreak	Erros
cmnBreaks   Erros
cmnMisses	Erros
cmnAccuracy	Precisão
cmnRating	Ranking
cmnBotplay	Botplay
cmnClear	Limpar
cmnOn	Ligado
cmnOff	Desligado
cmnDesc	Descrição
cmnOffset	Offset (Esquerda ou Direita)
cmnAddOffset	Offset Additivo (Esquerda ou Direita): <X> - Adiciona valor ao offset global, por música.
cmnCategory	Por favor selecione uma categoria.
cmnPractice	Practice Mode
cmnLock	Travado
cmnSpeed	Velocidade da Música
cmnCaching	Caching
cmnLanguage	Seleção de linguagem
cmnDisableCaching	(pressione D para desabilitar após iniciar o jogo na próxima vez)
cmnCachingFinish	Finished caching!
cmnWelcome	Bem vindo a Doki Doki Takeover!<N>Esta é uma sequência de Monika Full Week<N><N>Você jogou Monika Full Week?<N><N>Aperte A para sim, ou B para não.
cmnDialogueSkip	Aperte o botão 'Pular' no canto superior direito para pular a cutscene.
