flag	content
unlockSecret	Segredo! não vamos dizer como desbloquear isso aqui!
unlockSoft	Have a save file for Friday Night Funkin' Soft or Jogue It's Complicated (Sayori Mix) with the Festival Costume on Mirror Mode.
unlockCow	Complete a Our Harmony com todas as roupas casuais!
unlockHoloFunk	Encontre e clique em certo succubi na galeria de adesivos.
unlockTBD	Passe por todas as musicas do DDTO+
unlockFestival_SA	Consiga uma precisão de 90% ou mais em It's Complicated (Sayori Mix).
unlockFestival_NA	Consiga uma precisão de 90% ou mais em Beathoven (Natsuki Mix).
unlockFestival_YU	Consiga uma precisão de 90% ou mais em Crucify (Yuri Mix).
unlockFestival_MO	Consiga uma precisão de 90% ou mais em Glitcher (Monika Mix).
unlockFriends_SA	Consiga uma precisão de 90% ou mais em Constricted.
unlockFriends_NA	Jogue Baka no Mirror Mode.
unlockFriends_YU	Jogue Obsession no Mirror Mode.
unlockFriends_MO	Complete Wilted no Mirror Mode.
unlockHank	Ache e clique em certo assasino vulgar na galeria de artes
unlockSleepWear	Complete Joyride no Mirror Mode.
unlockHotline	Complete Deep Breaths e Poems n' Thorns no Mirror Mode.
unlockHenry	Consiga uma precisão de 90% ou mais em Titular (MC Mix).
unlockPicnic_YU	Escolha Yuri na You and Me.
unlockPicnic_SA	Escolha Sayori na You and Me.
unlockSkater	Escolha Natsuki na You and Me.
unlockDerby	Escolha Yuri na Catfight.
unlockVigilante	Escolha Monika na You and Me.
unlockNeo	Consiga uma precisão de 90% ou mais em Drinks on Me.
unlockValentine	Jogue uma versão Alternativa da Epiphany
unlockBlueSkies_BF	Consiga uma precisão de 90% ou mais em Your Demise.
unlockBlueSkies_GF	Jogue Love n' Funkin' no Mirror Mode.
unlockBlueSkies_SA	Jogue My Confession no Mirror Mode.
unlockBlueSkies_NA	Escolha Natsuki em CatFight.
unlockBlueSkies_YU	Jogue Shrinking Violet no Mirror Mode.
unlockBlueSkies_MO	Jogue Reconciliation no Mirror Mode.
unlockBlueSkies_PR	Falhe na You and Me por não escolher nenhuma Doki
